TLC2 Version 2.19 of 08 August 2024 (rev: 5a47802)
Running breadth-first search Model-Checking with fp 41 and seed -598648575451411514 with 128 workers on 128 cores with 406240MB heap and 64MB offheap memory [pid: 100234] (Linux 7.0.0-1004-aws amd64, Ubuntu 25.0.3-ea x86_64, MSBDiskFPSet, DiskStateQueue).
Parsing file /home/ubuntu/summerset/tla+/bodega_roster_lease/Bodega_MC.tla
Parsing file /home/ubuntu/summerset/tla+/bodega_roster_lease/Bodega.tla
Parsing file /tmp/FiniteSets.tla
Parsing file /tmp/Sequences.tla
Parsing file /tmp/Integers.tla
Parsing file /tmp/TLC.tla
Parsing file /tmp/Naturals.tla
Semantic processing of module Naturals
Semantic processing of module Sequences
Semantic processing of module FiniteSets
Semantic processing of module Integers
Semantic processing of module TLC
Semantic processing of module Bodega
Semantic processing of module Bodega_MC
Starting... (2026-05-12 06:17:01)
Computing initial states...
Finished computing initial states: 1 distinct state generated at 2026-05-12 06:17:06.
Progress(12) at 2026-05-12 06:17:09: 81,623 states generated (81,623 s/min), 35,648 distinct states found (35,648 ds/min), 23,808 states left on queue.
Progress(23) at 2026-05-12 06:50:09: 273,048,694 states generated (8,515,833 s/min), 92,215,322 distinct states found (2,791,216 ds/min), 32,362,608 states left on queue.
Progress(23) at 2026-05-12 06:51:09: 281,297,167 states generated (8,248,473 s/min), 95,018,691 distinct states found (2,803,369 ds/min), 33,223,190 states left on queue.
Progress(23) at 2026-05-12 06:52:09: 289,581,648 states generated (8,284,481 s/min), 97,814,364 distinct states found (2,795,673 ds/min), 33,980,297 states left on queue.
Progress(23) at 2026-05-12 06:53:09: 297,757,846 states generated (8,176,198 s/min), 100,634,385 distinct states found (2,820,021 ds/min), 34,787,902 states left on queue.
Progress(23) at 2026-05-12 06:54:09: 306,245,166 states generated (8,487,320 s/min), 103,427,976 distinct states found (2,793,591 ds/min), 35,637,197 states left on queue.
Progress(23) at 2026-05-12 06:55:09: 314,374,487 states generated (8,129,321 s/min), 106,252,147 distinct states found (2,824,171 ds/min), 36,390,929 states left on queue.
Progress(23) at 2026-05-12 06:56:09: 322,587,990 states generated (8,213,503 s/min), 109,062,246 distinct states found (2,810,099 ds/min), 37,126,704 states left on queue.
Progress(23) at 2026-05-12 06:57:09: 330,840,426 states generated (8,252,436 s/min), 111,862,952 distinct states found (2,800,706 ds/min), 37,891,986 states left on queue.
Progress(23) at 2026-05-12 06:58:09: 339,251,311 states generated (8,410,885 s/min), 114,652,335 distinct states found (2,789,383 ds/min), 38,747,420 states left on queue.
Progress(23) at 2026-05-12 06:59:09: 347,692,943 states generated (8,441,632 s/min), 117,444,226 distinct states found (2,791,891 ds/min), 39,528,666 states left on queue.
Progress(23) at 2026-05-12 07:00:09: 356,057,278 states generated (8,364,335 s/min), 120,247,850 distinct states found (2,803,624 ds/min), 40,318,327 states left on queue.
Progress(23) at 2026-05-12 07:01:09: 364,406,021 states generated (8,348,743 s/min), 123,055,367 distinct states found (2,807,517 ds/min), 41,121,073 states left on queue.
Progress(23) at 2026-05-12 07:02:09: 372,386,964 states generated (7,980,943 s/min), 125,886,071 distinct states found (2,830,704 ds/min), 41,883,063 states left on queue.
Progress(23) at 2026-05-12 07:03:09: 380,659,366 states generated (8,272,402 s/min), 128,701,522 distinct states found (2,815,451 ds/min), 42,665,499 states left on queue.
Progress(23) at 2026-05-12 07:04:09: 389,227,704 states generated (8,568,338 s/min), 131,497,450 distinct states found (2,795,928 ds/min), 43,421,104 states left on queue.
Progress(23) at 2026-05-12 07:05:09: 397,733,426 states generated (8,505,722 s/min), 134,287,021 distinct states found (2,789,571 ds/min), 44,159,476 states left on queue.
Progress(23) at 2026-05-12 07:06:09: 406,030,553 states generated (8,297,127 s/min), 137,081,011 distinct states found (2,793,990 ds/min), 44,904,167 states left on queue.
Progress(24) at 2026-05-12 07:07:09: 414,289,903 states generated (8,259,350 s/min), 139,897,586 distinct states found (2,816,575 ds/min), 45,694,885 states left on queue.
Progress(24) at 2026-05-12 07:08:09: 422,319,877 states generated (8,029,974 s/min), 142,717,053 distinct states found (2,819,467 ds/min), 46,411,820 states left on queue.
