TLC2 Version 2.19 of 08 August 2024 (rev: 5a47802)
Running breadth-first search Model-Checking with fp 93 and seed -8506197763289987268 with 96 workers on 96 cores with 609180MB heap and 64MB offheap memory [pid: 4700] (Linux 7.0.0-1004-aws amd64, Ubuntu 25.0.3-ea x86_64, MSBDiskFPSet, DiskStateQueue).
Parsing file /home/ubuntu/summerset/tla+/bodega_roster_lease/Bodega_MC.tla
Parsing file /home/ubuntu/summerset/tla+/bodega_roster_lease/Bodega.tla
Parsing file /tmp/FiniteSets.tla
Parsing file /tmp/Sequences.tla
Parsing file /tmp/Integers.tla
Parsing file /tmp/TLC.tla
Parsing file /tmp/Naturals.tla
Semantic processing of module Naturals
Semantic processing of module Sequences
Semantic processing of module FiniteSets
Semantic processing of module Integers
Semantic processing of module TLC
Semantic processing of module Bodega
Semantic processing of module Bodega_MC
Starting... (2026-05-17 01:39:53)
Computing initial states...
Finished computing initial states: 1 distinct state generated at 2026-05-17 01:39:58.
Progress(21) at 2026-05-17 02:13:01: 157,120,614 states generated (4,763,499 s/min), 53,362,789 distinct states found (1,604,875 ds/min), 20,558,767 states left on queue.
Progress(21) at 2026-05-17 02:14:01: 161,913,747 states generated (4,793,133 s/min), 54,968,020 distinct states found (1,605,231 ds/min), 21,063,527 states left on queue.
Progress(21) at 2026-05-17 02:15:01: 166,342,793 states generated (4,429,046 s/min), 56,609,897 distinct states found (1,641,877 ds/min), 21,520,171 states left on queue.
Progress(22) at 2026-05-17 02:16:01: 170,983,818 states generated (4,641,025 s/min), 58,226,488 distinct states found (1,616,591 ds/min), 22,041,352 states left on queue.
Progress(22) at 2026-05-17 02:17:01: 175,755,149 states generated (4,771,331 s/min), 59,828,245 distinct states found (1,601,757 ds/min), 22,554,682 states left on queue.
Progress(22) at 2026-05-17 02:18:01: 180,695,345 states generated (4,940,196 s/min), 61,418,829 distinct states found (1,590,584 ds/min), 23,051,622 states left on queue.
Progress(22) at 2026-05-17 02:19:01: 185,632,390 states generated (4,937,045 s/min), 63,012,465 distinct states found (1,593,636 ds/min), 23,578,135 states left on queue.
Progress(22) at 2026-05-17 02:20:01: 190,749,873 states generated (5,117,483 s/min), 64,584,458 distinct states found (1,571,993 ds/min), 24,092,690 states left on queue.
Progress(22) at 2026-05-17 02:21:01: 195,709,802 states generated (4,959,929 s/min), 66,171,567 distinct states found (1,587,109 ds/min), 24,623,129 states left on queue.
Progress(22) at 2026-05-17 02:22:01: 200,563,092 states generated (4,853,290 s/min), 67,767,344 distinct states found (1,595,777 ds/min), 25,096,941 states left on queue.
Progress(22) at 2026-05-17 02:23:01: 205,400,911 states generated (4,837,819 s/min), 69,362,851 distinct states found (1,595,507 ds/min), 25,613,619 states left on queue.
Progress(22) at 2026-05-17 02:24:01: 210,161,566 states generated (4,760,655 s/min), 70,965,757 distinct states found (1,602,906 ds/min), 26,123,884 states left on queue.
Progress(22) at 2026-05-17 02:25:01: 214,728,574 states generated (4,567,008 s/min), 72,585,294 distinct states found (1,619,537 ds/min), 26,624,667 states left on queue.
Progress(22) at 2026-05-17 02:26:01: 219,674,280 states generated (4,945,706 s/min), 74,170,324 distinct states found (1,585,030 ds/min), 27,140,478 states left on queue.
Progress(22) at 2026-05-17 02:27:01: 224,235,662 states generated (4,561,382 s/min), 75,772,107 distinct states found (1,601,783 ds/min), 27,635,829 states left on queue.
Progress(22) at 2026-05-17 02:28:01: 228,986,997 states generated (4,751,335 s/min), 77,378,701 distinct states found (1,606,594 ds/min), 28,121,108 states left on queue.
Progress(22) at 2026-05-17 02:29:01: 233,840,729 states generated (4,853,732 s/min), 78,980,604 distinct states found (1,601,903 ds/min), 28,565,775 states left on queue.
Progress(22) at 2026-05-17 02:30:01: 238,815,682 states generated (4,974,953 s/min), 80,564,933 distinct states found (1,584,329 ds/min), 29,030,893 states left on queue.
Progress(22) at 2026-05-17 02:31:01: 243,541,274 states generated (4,725,592 s/min), 82,171,690 distinct states found (1,606,757 ds/min), 29,487,649 states left on queue.
Progress(22) at 2026-05-17 02:32:01: 248,413,844 states generated (4,872,570 s/min), 83,766,623 distinct states found (1,594,933 ds/min), 29,999,705 states left on queue.
Progress(22) at 2026-05-17 02:33:01: 253,125,943 states generated (4,712,099 s/min), 85,373,953 distinct states found (1,607,330 ds/min), 30,447,197 states left on queue.
Progress(22) at 2026-05-17 02:34:01: 257,498,260 states generated (4,372,317 s/min), 87,021,916 distinct states found (1,647,963 ds/min), 30,867,975 states left on queue.
Progress(22) at 2026-05-17 02:35:01: 261,985,509 states generated (4,487,249 s/min), 88,651,119 distinct states found (1,629,203 ds/min), 31,280,102 states left on queue.
Progress(22) at 2026-05-17 02:36:01: 266,632,883 states generated (4,647,374 s/min), 90,262,935 distinct states found (1,611,816 ds/min), 31,764,578 states left on queue.
Progress(22) at 2026-05-17 02:37:01: 271,478,815 states generated (4,845,932 s/min), 91,856,245 distinct states found (1,593,310 ds/min), 32,242,834 states left on queue.
Progress(22) at 2026-05-17 02:38:01: 276,407,139 states generated (4,928,324 s/min), 93,444,184 distinct states found (1,587,939 ds/min), 32,714,237 states left on queue.
Progress(23) at 2026-05-17 02:39:01: 281,127,769 states generated (4,720,630 s/min), 95,054,597 distinct states found (1,610,413 ds/min), 33,164,996 states left on queue.
Checkpointing of run /tmp/tlc-bodega_roster_lease/states/26-05-17-01-39-53
Checkpointing completed at (2026-05-17 02:40:03)
Progress(23) at 2026-05-17 02:40:03: 286,143,134 states generated (5,015,365 s/min), 96,664,105 distinct states found (1,609,508 ds/min), 33,668,546 states left on queue.
Progress(23) at 2026-05-17 02:41:03: 291,205,053 states generated (5,061,919 s/min), 98,232,502 distinct states found (1,568,397 ds/min), 34,151,924 states left on queue.
Progress(23) at 2026-05-17 02:42:03: 296,144,019 states generated (4,938,966 s/min), 99,807,038 distinct states found (1,574,536 ds/min), 34,646,691 states left on queue.
Progress(23) at 2026-05-17 02:43:03: 301,032,293 states generated (4,888,274 s/min), 101,391,698 distinct states found (1,584,660 ds/min), 35,129,240 states left on queue.
Progress(23) at 2026-05-17 02:44:03: 305,856,627 states generated (4,824,334 s/min), 102,980,438 distinct states found (1,588,740 ds/min), 35,563,285 states left on queue.
Progress(23) at 2026-05-17 02:45:03: 310,560,571 states generated (4,703,944 s/min), 104,575,914 distinct states found (1,595,476 ds/min), 36,019,064 states left on queue.
Progress(23) at 2026-05-17 02:46:03: 315,539,299 states generated (4,978,728 s/min), 106,150,206 distinct states found (1,574,292 ds/min), 36,488,025 states left on queue.
Progress(23) at 2026-05-17 02:47:03: 320,172,917 states generated (4,633,618 s/min), 107,754,486 distinct states found (1,604,280 ds/min), 36,976,629 states left on queue.
Progress(23) at 2026-05-17 02:48:03: 324,668,606 states generated (4,495,689 s/min), 109,370,749 distinct states found (1,616,263 ds/min), 37,441,548 states left on queue.
Progress(23) at 2026-05-17 02:49:03: 329,358,999 states generated (4,690,393 s/min), 110,970,621 distinct states found (1,599,872 ds/min), 37,910,802 states left on queue.
Progress(23) at 2026-05-17 02:50:03: 334,216,156 states generated (4,857,157 s/min), 112,551,849 distinct states found (1,581,228 ds/min), 38,371,240 states left on queue.
Progress(23) at 2026-05-17 02:51:03: 338,750,123 states generated (4,533,967 s/min), 114,165,358 distinct states found (1,613,509 ds/min), 38,834,067 states left on queue.
Progress(23) at 2026-05-17 02:52:03: 343,375,117 states generated (4,624,994 s/min), 115,774,402 distinct states found (1,609,044 ds/min), 39,274,784 states left on queue.
Progress(23) at 2026-05-17 02:53:03: 348,089,751 states generated (4,714,634 s/min), 117,368,055 distinct states found (1,593,653 ds/min), 39,708,652 states left on queue.
Progress(23) at 2026-05-17 02:54:03: 352,912,215 states generated (4,822,464 s/min), 118,958,890 distinct states found (1,590,835 ds/min), 40,134,501 states left on queue.
